tier,model,n_features,accuracy,balanced_accuracy,precision_braking,recall_braking,f1_braking,roc_auc
auxonly,dt,60,0.7311291512915129,0.7964065411177772,0.42358221892025755,0.9061614261873857,0.5773050602897621,0.8781698925835189
auxonly,lda,60,0.8199637705467964,0.6211232053592499,0.6206007107646452,0.28680034965961165,0.3923039295613892,0.8129112855070516
auxonly,qda,60,0.5206816504528682,0.6929553610091436,0.29500719733420283,0.9826097321925247,0.4537775548650699,0.8444591257774572
auxonly,rf,60,0.7659523649781952,0.8313669638636819,0.46194543020187445,0.9413525469523986,0.6197593303104291,0.9207268333455673
auxonly,lr,60,0.718760147601476,0.7281757502338431,0.3965886065672148,0.7440067812773171,0.5173869994704,0.8143864179614366
auxonly,pca_lda,60,0.8140784971486078,0.5962372639658848,0.6091639476546329,0.22996741808164023,0.3338877938560646,0.7918834280993307
full,dt,180,0.7543616236162362,0.8253585118596729,0.44949491766811395,0.9447299409287171,0.6091575607735632,0.9102961146924402
full,lda,180,0.8773565917477356,0.7264973353784846,0.8581971153846154,0.4728484013668512,0.6097419343819918,0.9240470890771195
full,qda,180,0.8437571284803758,0.7464712273911673,0.6221549944866974,0.5828984662657943,0.6018873085339168,0.9013657374225892
full,rf,180,0.8178195236497819,0.8694228122739678,0.5278458152678565,0.9561865910836799,0.6801995543474676,0.9544565407876753
full,lr,180,0.7500731298222073,0.8169444671984083,0.4442067013996594,0.929379354189293,0.6011076416997546,0.9079253218947705
full,pca_lda,180,0.8296678966789668,0.6349929366994751,0.6747414894853027,0.3076739689014861,0.422632584371873,0.8390036191872691
